DataGarrison Station - ID 8388608
Time zone: UTC -420 minutes
Date_Time	Pressure_20290338_mbar	Temperature_20339014_°C	RH_20339014_%	Wind Speed_20339187_km/hr	Gust Speed_20339187_km/hr	Wind Direction_20339187_°	SW-IN_SDI_0_0_W/m^2	SW-OUT_SDI_0_1_W/m^2	LW-IN_SDI_0_2_W/m^2	LW-OUT_SDI_0_3_W/m^2	
11/01/24 08:24:13	799.150	-4.318	69.100	14.033	14.033	256.918	-3.940	0.830	209.310	282.410
11/01/24 09:00:00	798.950	-3.956	66.900	31.573	53.324	247.090	-6.050	1.070	208.980	285.030
11/01/24 10:00:00	798.550	-3.777	66.300	28.065	61.744	234.455	2.790	5.530	208.510	286.210
11/01/24 11:00:00	798.350	-4.167	66.900	21.751	46.308	230.243	16.700	13.800	204.030	283.810
11/01/24 12:00:00	797.450	-3.419	65.400	16.839	42.800	219.012	82.750	63.950	210.710	293.660
11/01/24 13:00:00	797.450	-3.836	72.700	25.960	57.534	192.337	55.930	40.570	234.940	293.430
11/01/24 14:00:00	797.050	-3.330	67.900	22.452	56.832	196.549	73.930	52.760	260.430	296.900
11/01/24 15:00:00	796.450	-3.627	75.600	19.646	70.865	200.761	167.870	121.380	282.240	310.180
11/01/24 16:00:00	795.850	-3.807	67.800	16.839	56.131	213.396	52.050	41.930	220.370	292.340
11/01/24 17:00:00	795.250	-3.986	67.400	18.242	49.114	210.588	40.310	28.960	253.240	292.910
11/01/24 18:00:00	794.150	-4.076	69.800	16.839	56.131	214.800	6.290	6.710	253.240	291.030
11/01/24 19:00:00	793.450	-4.046	70.700	16.138	49.114	213.396	-2.550	-0.210	263.670	290.570
11/01/24 20:00:00	792.750	-4.318	76.300	14.734	54.727	231.647	-1.880	0.130	272.630	292.100
11/01/24 21:00:00	792.450	-6.294	84.600	11.226	39.993	269.553	-1.310	0.040	276.360	289.150
11/01/24 22:00:00	791.950	-7.187	92.300	11.226	55.429	0.000	-0.510	-0.160	280.820	287.210
